Number of total tracking : 8278

 | No   | X          | Y          | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 |---------------------------------------------------------------------------------------------------------------| 
 | 1    | 18598.01   | 70667.13   | 1.79752132567593    | 8           | 5              | 11            | 31      | 
 | 2    | 18594.1    | 70669.09   | 4.37431112043031    | 15          | 11             | 19            | 33      | 
 | 3    | 18589.05   | 70672.66   | 6.18395277898014    | 22.5        | 19             | 26            | 35      | 
 | 4    | 18583.15   | 70679.02   | 8.67105236103736    | 30          | 26             | 34            | 39      | 
 | 5    | 18578.7    | 70687.83   | 9.87372667819122    | 34          | 34             | 34            | 44      | 
 | 6    | 18576.45   | 70697.91   | 10.3266594982512    | 37          | 34             | 40            | 47      | 
 | 7    | 18575.81   | 70709.7    | 11.8065617889221    | 42          | 40             | 44            | 50      | 
 | 8    | 18576.79   | 70721.93   | 12.2742263083962    | 43          | 44             | 42            | 52      | 
 | 9    | 18578.13   | 70733.45   | 11.5921838735947    | 42.5        | 42             | 43            | 52      | 
 | 10   | 18580.12   | 70745.59   | 12.3036240859925    | 44          | 43             | 45            | 53      | 
 | 11   | 18583.58   | 70758.96   | 13.8160137695615    | 49          | 45             | 53            | 55      | 
 | 12   | 18589.45   | 70773.86   | 16.0099533831402    | 57          | 53             | 61            | 57      | 
 | 13   | 18597.93   | 70789.62   | 17.8948876779063    | 64          | 61             | 67            | 59      | 
 | 14   | 18608.82   | 70805.49   | 19.2548434617012    | 68.5        | 67             | 70            | 60      | 
 | 15   | 18621.86   | 70820.66   | 20.0063459818908    | 70.5        | 70             | 71            | 62      | 
 | 16   | 18636.19   | 70834.7    | 20.05688207765      | 71.5        | 71             | 72            | 62      | 
 | 17   | 18649.67   | 70850.3    | 20.6166458318919    | 74.5        | 72             | 77            | 60      | 
 | 18   | 18661.64   | 70869.61   | 22.7215842219878    | 79.5        | 77             | 82            | 58      | 
 | 19   | 18671.62   | 70890.23   | 22.9094848846643    | 84.5        | 82             | 87            | 57      | 
 | 20   | 18682.31   | 70913.72   | 25.8027184081871    | 89.5        | 87             | 92            | 56      | 
 | 21   | 18691.48   | 70938.16   | 26.1106925371678    | 93.5        | 92             | 95            | 55      | 
 | 22   | 18698.24   | 70963.35   | 26.0778026709456    | 96.5        | 95             | 98            | 53      | 
 | 23   | 18702.45   | 70991.23   | 28.1912684998193    | 99.5        | 98             | 101           | 52      | 
 | 24   | 18703.89   | 71020.14   | 28.9497740320008    | 102         | 101            | 103           | 50      | 
 | 25   | 18702.9    | 71048.29   | 28.165644459732     | 104.5       | 103            | 106           | 49      | 
 | 26   | 18700.96   | 71078.99   | 30.7643196445118    | 107         | 106            | 108           | 49      | 
 | 27   | 18700.61   | 71109.37   | 30.3770344370777    | 109         | 108            | 110           | 50      | 
 | 28   | 18702.03   | 71140.03   | 30.6969201571592    | 110         | 110            | 110           | 51      | 
 | 29   | 18701.75   | 71169.82   | 29.7903901651423    | 104         | 110            | 98            | 47      | 
 | 30   | 18690.64   | 71187.76   | 21.1001307804339    | 80.5        | 98             | 63            | 37      | 
 | 31   | 18675.1    | 71193.91   | 16.7123062978517    | 60          | 63             | 57            | 28      | 
 | 32   | 18658.71   | 71196.2    | 16.5477603607051    | 59          | 57             | 61            | 27      | 
 | 33   | 18640.6    | 71198.3    | 18.2358302669136    | 64          | 61             | 67            | 27      | 
